Unnamed: 0,Scorecard,Team 1,Team 2,Margin,Ground,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Team1_runs,Team2_runs,Total_runs
1414,ODI # 1473,Australia,India,Winner1stInning,The Oval,"Jun 4, 1999",Australia,England,Neutral,Neutral,First,Second,249,257,506
1415,ODI # 1474,Pakistan,South Africa,Winner2ndInning,Nottingham,"Jun 5, 1999",South Africa,England,Neutral,Neutral,First,Second,293,181,474
1416,ODI # 1476,India,Pakistan,Winner1stInning,Manchester,"Jun 8, 1999",India,England,Neutral,Neutral,First,Second,204,178,382
1417,ODI # 1477,Australia,Zimbabwe,Winner1stInning,Lord's,"Jun 9, 1999",Australia,England,Neutral,Neutral,First,Second,189,275,464
1418,ODI # 1478,New Zealand,South Africa,Winner1stInning,Birmingham,"Jun 10, 1999",South Africa,England,Neutral,Neutral,Second,First,211,185,396
1419,ODI # 1479,Pakistan,Zimbabwe,Winner1stInning,The Oval,"Jun 11, 1999",Pakistan,England,Neutral,Neutral,First,Second,246,284,530
1420,ODI # 1480,India,New Zealand,Winner2ndInning,Nottingham,"Jun 12, 1999",New Zealand,England,Neutral,Neutral,First,Second,174,209,383
1421,ODI # 1481,Australia,South Africa,Winner2ndInning,Leeds,"Jun 13, 1999",Australia,England,Neutral,Neutral,Second,First,260,284,544
1422,ODI # 1482,New Zealand,Pakistan,Winner2ndInning,Manchester,"Jun 16, 1999",Pakistan,England,Neutral,Neutral,First,Second,194,250,444
1423,ODI # 1484,Australia,Pakistan,Winner2ndInning,Lord's,"Jun 20, 1999",Australia,England,Neutral,Neutral,Second,First,220,208,428
1424,ODI # 1485,Sri Lanka,Australia,Winner1stInning,Galle,"Aug 22, 1999",Australia,Sri Lanka,Home,Away,Second,First,197,208,405
1425,ODI # 1486,Australia,India,Winner2ndInning,Galle,"Aug 23, 1999",Australia,Sri Lanka,Neutral,Neutral,Second,First,214,169,383
1426,ODI # 1487,Sri Lanka,India,Winner2ndInning,Colombo,"Aug 25, 1999",Sri Lanka,Sri Lanka,Home,Away,Second,First,206,255,461
1427,ODI # 1488,Sri Lanka,Australia,Winner1stInning,Colombo,"Aug 26, 1999",Australia,Sri Lanka,Home,Away,Second,First,217,170,387
1428,ODI # 1489,Australia,India,Winner1stInning,Colombo,"Aug 28, 1999",Australia,Sri Lanka,Neutral,Neutral,First,Second,172,189,361
1429,ODI # 1490,Sri Lanka,India,Winner1stInning,Colombo,"Aug 29, 1999",India,Sri Lanka,Home,Away,Second,First,176,175,351
1430,ODI # 1491,Sri Lanka,Australia,Winner2ndInning,Colombo,"Aug 31, 1999",Sri Lanka,Sri Lanka,Home,Away,Second,First,239,257,496
1431,ODI # 1492,West Indies,Zimbabwe,Winner2ndInning,Singapore,"Sep 2, 1999",West Indies,,Neutral,Neutral,Second,First,277,164,441
1432,ODI # 1493,India,Zimbabwe,Winner1stInning,Singapore,"Sep 4, 1999",India,,Neutral,Neutral,First,Second,160,158,318
1433,ODI # 1494,India,West Indies,Winner1stInning,Singapore,"Sep 5, 1999",West Indies,,Neutral,Neutral,Second,First,226,289,515
1434,ODI # 1496,India,West Indies,Winner2ndInning,Singapore,"Sep 8, 1999",West Indies,,Neutral,Neutral,First,Second,242,296,538
1435,ODI # 1497,India,West Indies,Winner2ndInning,Toronto,"Sep 11, 1999",India,Canada,Neutral,Neutral,Second,First,293,242,535
1436,ODI # 1498,India,West Indies,Winner1stInning,Toronto,"Sep 12, 1999",West Indies,Canada,Neutral,Neutral,Second,First,284,210,494
1437,ODI # 1499,India,West Indies,Winner1stInning,Toronto,"Sep 14, 1999",India,Canada,Neutral,Neutral,First,Second,167,251,418
1438,ODI # 1500,Pakistan,West Indies,Winner1stInning,Toronto,"Sep 16, 1999",Pakistan,Canada,Neutral,Neutral,First,Second,218,222,440
1439,ODI # 1501,Pakistan,West Indies,Winner1stInning,Toronto,"Sep 18, 1999",Pakistan,Canada,Neutral,Neutral,First,Second,168,258,426
1440,ODI # 1502,Pakistan,West Indies,Winner2ndInning,Toronto,"Sep 19, 1999",Pakistan,Canada,Neutral,Neutral,Second,First,197,277,474
1441,ODI # 1503,Kenya,Zimbabwe,Winner2ndInning,Nairobi,"Sep 25, 1999",Zimbabwe,Kenya,Home,Away,First,Second,178,280,458
1442,ODI # 1504,India,South Africa,Winner2ndInning,Nairobi,"Sep 26, 1999",India,Kenya,Neutral,Neutral,Second,First,297,257,554
1443,ODI # 1505,South Africa,Zimbabwe,Winner2ndInning,Nairobi,"Sep 28, 1999",South Africa,Kenya,Neutral,Neutral,Second,First,157,213,370
1444,ODI # 1506,Kenya,India,Winner1stInning,Nairobi,"Sep 29, 1999",India,Kenya,Home,Away,Second,First,162,284,446
1445,ODI # 1507,Kenya,South Africa,Winner1stInning,Nairobi,"Sep 30, 1999",South Africa,Kenya,Home,Away,Second,First,287,270,557
1446,ODI # 1508,India,Zimbabwe,Winner1stInning,Nairobi,"Oct 1, 1999",India,Kenya,Neutral,Neutral,First,Second,223,249,472
1447,ODI # 1509,India,South Africa,Winner1stInning,Nairobi,"Oct 3, 1999",South Africa,Kenya,Neutral,Neutral,Second,First,291,150,441
1448,ODI # 1510,Bangladesh,West Indies,Winner1stInning,Dhaka,"Oct 8, 1999",West Indies,Bangladesh,Home,Away,Second,First,254,168,422
1449,ODI # 1511,Bangladesh,West Indies,Winner1stInning,Dhaka,"Oct 9, 1999",West Indies,Bangladesh,Home,Away,Second,First,295,205,500
1450,ODI # 1512,Sri Lanka,West Indies,Winner2ndInning,Sharjah,"Oct 13, 1999",West Indies,U.A.E.,Neutral,Neutral,First,Second,266,198,464
1451,ODI # 1513,Pakistan,West Indies,Winner1stInning,Sharjah,"Oct 14, 1999",Pakistan,U.A.E.,Neutral,Neutral,First,Second,297,193,490
1452,ODI # 1515,Sri Lanka,West Indies,Winner2ndInning,Sharjah,"Oct 17, 1999",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,212,254,466
1453,ODI # 1516,Pakistan,Sri Lanka,Winner1stInning,Sharjah,"Oct 18, 1999",Pakistan,U.A.E.,Neutral,Neutral,First,Second,185,244,429
1454,ODI # 1517,Pakistan,West Indies,Winner1stInning,Sharjah,"Oct 19, 1999",Pakistan,U.A.E.,Neutral,Neutral,First,Second,233,224,457
1455,ODI # 1518,Zimbabwe,Australia,Winner1stInning,Bulawayo,"Oct 21, 1999",Australia,Zimbabwe,Home,Away,Second,First,259,223,482
1456,ODI # 1519,Pakistan,Sri Lanka,Winner1stInning,Sharjah,"Oct 22, 1999",Pakistan,U.A.E.,Neutral,Neutral,First,Second,204,239,443
1457,ODI # 1520,Zimbabwe,Australia,Winner2ndInning,Harare,"Oct 23, 1999",Australia,Zimbabwe,Home,Away,First,Second,191,197,388
1458,ODI # 1521,Zimbabwe,Australia,Winner2ndInning,Harare,"Oct 24, 1999",Australia,Zimbabwe,Home,Away,First,Second,222,252,474
1459,ODI # 1522,India,New Zealand,Winner1stInning,Rajkot,"Nov 5, 1999",New Zealand,India,Home,Away,Second,First,222,241,463
1460,ODI # 1523,India,New Zealand,Winner1stInning,Hyderabad,"Nov 8, 1999",India,India,Home,Away,First,Second,261,186,447
1461,ODI # 1524,India,New Zealand,Winner1stInning,Gwalior,"Nov 11, 1999",India,India,Home,Away,First,Second,259,207,466
1462,ODI # 1525,India,New Zealand,Winner1stInning,Guwahati,"Nov 14, 1999",New Zealand,India,Home,Away,Second,First,282,280,562
1463,ODI # 1526,India,New Zealand,Winner2ndInning,Delhi,"Nov 17, 1999",India,India,Home,Away,Second,First,298,300,598
1464,ODI # 1528,Zimbabwe,Sri Lanka,Winner1stInning,Bulawayo,"Dec 12, 1999",Sri Lanka,Zimbabwe,Home,Away,Second,First,169,285,454
1465,ODI # 1529,Zimbabwe,Sri Lanka,Winner1stInning,Harare,"Dec 15, 1999",Sri Lanka,Zimbabwe,Home,Away,Second,First,292,178,470
1466,ODI # 1530,Zimbabwe,Sri Lanka,Winner2ndInning,Harare,"Dec 18, 1999",Sri Lanka,Zimbabwe,Home,Away,First,Second,192,213,405
1467,ODI # 1531,Zimbabwe,Sri Lanka,Winner2ndInning,Harare,"Dec 19, 1999",Zimbabwe,Zimbabwe,Home,Away,Second,First,208,232,440
1468,ODI # 1532,New Zealand,West Indies,Winner2ndInning,Auckland,"Jan 2, 2000",New Zealand,New Zealand,Home,Away,Second,First,250,152,402
1469,ODI # 1533,New Zealand,West Indies,Winner2ndInning,Taupo,"Jan 4, 2000",New Zealand,New Zealand,Home,Away,Second,First,277,280,557
1470,ODI # 1534,New Zealand,West Indies,Winner2ndInning,Napier,"Jan 6, 2000",New Zealand,New Zealand,Home,Away,Second,First,248,256,504
1471,ODI # 1535,New Zealand,West Indies,Winner2ndInning,Wellington,"Jan 8-9, 2000",New Zealand,New Zealand,Home,Away,Second,First,194,248,442
1472,ODI # 1536,Australia,Pakistan,Winner1stInning,Brisbane,"Jan 9, 2000",Pakistan,Australia,Home,Away,Second,First,291,240,531
1473,ODI # 1537,India,Pakistan,Winner2ndInning,Brisbane,"Jan 10, 2000",Pakistan,Australia,Neutral,Neutral,First,Second,156,290,446
1474,ODI # 1538,New Zealand,West Indies,Winner1stInning,Christchurch,"Jan 11, 2000",New Zealand,New Zealand,Home,Away,First,Second,274,272,546
1475,ODI # 1539,Australia,India,Winner1stInning,Melbourne,"Jan 12, 2000",Australia,Australia,Home,Away,First,Second,291,300,591
1476,ODI # 1540,Australia,India,Winner2ndInning,Sydney,"Jan 14, 2000",Australia,Australia,Home,Away,Second,First,196,157,353
1477,ODI # 1541,Australia,Pakistan,Winner2ndInning,Melbourne,"Jan 16, 2000",Australia,Australia,Home,Away,Second,First,163,191,354
1478,ODI # 1542,Australia,Pakistan,Winner1stInning,Sydney,"Jan 19, 2000",Australia,Australia,Home,Away,First,Second,287,294,581
1479,ODI # 1543,India,Pakistan,Winner1stInning,Hobart,"Jan 21, 2000",Pakistan,Australia,Neutral,Neutral,Second,First,219,279,498
1480,ODI # 1544,South Africa,Zimbabwe,Winner2ndInning,Johannesburg,"Jan 21, 2000",South Africa,South Africa,Home,Away,Second,First,168,194,362
1481,ODI # 1545,Australia,Pakistan,Winner1stInning,Melbourne,"Jan 23, 2000",Australia,Australia,Home,Away,First,Second,262,185,447
1482,ODI # 1546,South Africa,England,Winner2ndInning,Bloemfontein,"Jan 23, 2000",England,South Africa,Home,Away,First,Second,209,201,410
1483,ODI # 1547,India,Pakistan,Winner1stInning,Adelaide,"Jan 25, 2000",India,Australia,Neutral,Neutral,First,Second,239,202,441
1484,ODI # 1548,Australia,India,Winner1stInning,Adelaide,"Jan 26, 2000",Australia,Australia,Home,Away,First,Second,226,282,508
1485,ODI # 1549,South Africa,England,Winner1stInning,Cape Town,"Jan 26, 2000",South Africa,South Africa,Home,Away,First,Second,240,292,532
1486,ODI # 1550,India,Pakistan,Winner1stInning,Perth,"Jan 28, 2000",Pakistan,Australia,Neutral,Neutral,Second,First,227,267,494
1487,ODI # 1551,England,Zimbabwe,Winner1stInning,Cape Town,"Jan 28, 2000",Zimbabwe,South Africa,Neutral,Neutral,Second,First,178,240,418
1488,ODI # 1552,Australia,India,Winner2ndInning,Perth,"Jan 30, 2000",Australia,Australia,Home,Away,Second,First,242,296,538
1489,ODI # 1553,England,Zimbabwe,Winner2ndInning,Kimberley,"Jan 30, 2000",England,South Africa,Neutral,Neutral,Second,First,187,191,378
1490,ODI # 1554,Australia,Pakistan,Winner2ndInning,Melbourne,"Feb 2, 2000",Australia,Australia,Home,Away,Second,First,274,276,550
1491,ODI # 1555,South Africa,Zimbabwe,Winner2ndInning,Durban,"Feb 2, 2000",Zimbabwe,South Africa,Home,Away,First,Second,218,294,512
1492,ODI # 1556,Australia,Pakistan,Winner1stInning,Sydney,"Feb 4, 2000",Australia,Australia,Home,Away,First,Second,202,249,451
1493,ODI # 1557,South Africa,England,Winner2ndInning,East London,"Feb 4, 2000",South Africa,South Africa,Home,Away,Second,First,179,277,456
1494,ODI # 1558,South Africa,Zimbabwe,Winner1stInning,Port Elizabeth,"Feb 6, 2000",South Africa,South Africa,Home,Away,First,Second,238,164,402
1495,ODI # 1559,Pakistan,Sri Lanka,Winner1stInning,Karachi,"Feb 13, 2000",Sri Lanka,Pakistan,Home,Away,Second,First,162,164,326
1496,ODI # 1560,South Africa,England,Winner1stInning,Johannesburg,"Feb 13, 2000",South Africa,South Africa,Home,Away,First,Second,205,171,376
1497,ODI # 1561,Pakistan,Sri Lanka,Winner1stInning,Gujranwala,"Feb 16, 2000",Sri Lanka,Pakistan,Home,Away,Second,First,239,229,468
1498,ODI # 1562,Zimbabwe,England,Winner2ndInning,Bulawayo,"Feb 16, 2000",England,Zimbabwe,Home,Away,First,Second,159,276,435
1499,ODI # 1564,Zimbabwe,England,Winner2ndInning,Bulawayo,"Feb 18, 2000",England,Zimbabwe,Home,Away,First,Second,266,287,553
1500,ODI # 1565,New Zealand,Australia,Winner2ndInning,Auckland,"Feb 19, 2000",Australia,New Zealand,Home,Away,First,Second,246,191,437
1501,ODI # 1566,Pakistan,Sri Lanka,Winner1stInning,Lahore,"Feb 19, 2000",Sri Lanka,Pakistan,Home,Away,Second,First,207,270,477
1502,ODI # 1567,Zimbabwe,England,Winner1stInning,Harare,"Feb 20, 2000",England,Zimbabwe,Home,Away,Second,First,291,252,543
1503,ODI # 1568,New Zealand,Australia,Winner1stInning,Dunedin,"Feb 23, 2000",Australia,New Zealand,Home,Away,Second,First,158,244,402
1504,ODI # 1569,New Zealand,Australia,Winner1stInning,Christchurch,"Feb 26, 2000",Australia,New Zealand,Home,Away,Second,First,164,239,403
1505,ODI # 1570,New Zealand,Australia,Winner2ndInning,Napier,"Mar 1, 2000",Australia,New Zealand,Home,Away,First,Second,274,220,494
1506,ODI # 1571,New Zealand,Australia,Winner2ndInning,Auckland,"Mar 3, 2000",New Zealand,New Zealand,Home,Away,Second,First,237,269,506
1507,ODI # 1572,India,South Africa,Winner2ndInning,Kochi,"Mar 9, 2000",India,India,Home,Away,Second,First,177,237,414
1508,ODI # 1573,India,South Africa,Winner2ndInning,Jamshedpur,"Mar 12, 2000",India,India,Home,Away,Second,First,275,298,573
1509,ODI # 1574,India,South Africa,Winner2ndInning,Faridabad,"Mar 15, 2000",South Africa,India,Home,Away,First,Second,155,165,320
1510,ODI # 1575,India,South Africa,Winner2ndInning,Vadodara,"Mar 17, 2000",India,India,Home,Away,Second,First,166,272,438
1511,ODI # 1576,India,South Africa,Winner1stInning,Nagpur,"Mar 19, 2000",South Africa,India,Home,Away,Second,First,206,194,400
1512,ODI # 1577,India,South Africa,Winner2ndInning,Sharjah,"Mar 22, 2000",South Africa,U.A.E.,Neutral,Neutral,First,Second,164,195,359
1513,ODI # 1578,India,Pakistan,Winner2ndInning,Sharjah,"Mar 23, 2000",India,U.A.E.,Neutral,Neutral,Second,First,243,194,437
1514,ODI # 1579,Pakistan,South Africa,Winner2ndInning,Sharjah,"Mar 24, 2000",South Africa,U.A.E.,Neutral,Neutral,First,Second,154,165,319
1515,ODI # 1580,India,Pakistan,Winner1stInning,Sharjah,"Mar 26, 2000",Pakistan,U.A.E.,Neutral,Neutral,Second,First,217,264,481
1516,ODI # 1581,India,South Africa,Winner2ndInning,Sharjah,"Mar 27, 2000",South Africa,U.A.E.,Neutral,Neutral,First,Second,184,257,441
1517,ODI # 1582,Pakistan,South Africa,Winner1stInning,Sharjah,"Mar 28, 2000",Pakistan,U.A.E.,Neutral,Neutral,First,Second,272,254,526
1518,ODI # 1583,Pakistan,South Africa,Winner1stInning,Sharjah,"Mar 31, 2000",Pakistan,U.A.E.,Neutral,Neutral,First,Second,179,279,458
1519,ODI # 1584,West Indies,Zimbabwe,Winner1stInning,Kingston,"Apr 1, 2000",West Indies,West Indies,Home,Away,First,Second,207,296,503
1520,ODI # 1585,West Indies,Zimbabwe,Winner1stInning,Kingston,"Apr 2, 2000",West Indies,West Indies,Home,Away,First,Second,156,153,309
1521,ODI # 1586,Pakistan,Zimbabwe,Winner2ndInning,St John's,"Apr 5, 2000",Pakistan,West Indies,Neutral,Neutral,Second,First,282,209,491
1522,ODI # 1587,South Africa,Australia,Winner2ndInning,Durban,"Apr 12, 2000",South Africa,South Africa,Home,Away,Second,First,163,249,412
1523,ODI # 1588,West Indies,Pakistan,Winner1stInning,Kingstown,"Apr 12, 2000",West Indies,West Indies,Home,Away,First,Second,241,187,428
1524,ODI # 1589,South Africa,Australia,Winner2ndInning,Cape Town,"Apr 14, 2000",Australia,South Africa,Home,Away,First,Second,179,197,376
1525,ODI # 1590,Pakistan,Zimbabwe,Winner2ndInning,St George's,"Apr 15, 2000",Pakistan,West Indies,Neutral,Neutral,Second,First,183,205,388
1526,ODI # 1591,South Africa,Australia,Winner2ndInning,Johannesburg,"Apr 16, 2000",South Africa,South Africa,Home,Away,Second,First,212,175,387
1527,ODI # 1592,West Indies,Pakistan,Winner1stInning,St George's,"Apr 16, 2000",West Indies,West Indies,Home,Away,First,Second,150,239,389
1528,ODI # 1593,West Indies,Pakistan,Winner1stInning,Bridgetown,"Apr 19, 2000",Pakistan,West Indies,Home,Away,Second,First,228,230,458
1529,ODI # 1594,West Indies,Pakistan,Winner1stInning,Port of Spain,"Apr 22, 2000",West Indies,West Indies,Home,Away,First,Second,284,200,484
1530,ODI # 1595,West Indies,Pakistan,Winner2ndInning,Port of Spain,"Apr 23, 2000",Pakistan,West Indies,Home,Away,First,Second,239,156,395
1531,ODI # 1596,Bangladesh,Sri Lanka,Winner2ndInning,Dhaka,"May 29, 2000",Sri Lanka,Bangladesh,Home,Away,First,Second,255,202,457
1532,ODI # 1597,Bangladesh,India,Winner2ndInning,Dhaka,"May 30-31, 2000",India,Bangladesh,Home,Away,First,Second,273,203,476
1533,ODI # 1598,India,Sri Lanka,Winner1stInning,Dhaka,"Jun 1, 2000",Sri Lanka,Bangladesh,Neutral,Neutral,Second,First,210,237,447
1534,ODI # 1599,Bangladesh,Pakistan,Winner1stInning,Dhaka,"Jun 2, 2000",Pakistan,Bangladesh,Home,Away,Second,First,159,220,379
1535,ODI # 1600,India,Pakistan,Winner1stInning,Dhaka,"Jun 3, 2000",Pakistan,Bangladesh,Neutral,Neutral,Second,First,213,274,487
1536,ODI # 1601,Pakistan,Sri Lanka,Winner2ndInning,Dhaka,"Jun 5, 2000",Pakistan,Bangladesh,Neutral,Neutral,Second,First,210,297,507
1537,ODI # 1602,Pakistan,Sri Lanka,Winner1stInning,Dhaka,"Jun 7, 2000",Pakistan,Bangladesh,Neutral,Neutral,First,Second,234,177,411
1538,ODI # 1603,Sri Lanka,Pakistan,Winner2ndInning,Galle,"Jul 5, 2000",Sri Lanka,Sri Lanka,Home,Away,Second,First,170,166,336
1539,ODI # 1604,Sri Lanka,South Africa,Winner1stInning,Galle,"Jul 6, 2000",Sri Lanka,Sri Lanka,Home,Away,First,Second,229,222,451
1540,ODI # 1605,West Indies,Zimbabwe,Winner2ndInning,Bristol,"Jul 6, 2000",Zimbabwe,England,Neutral,Neutral,First,Second,298,253,551
1541,ODI # 1606,Pakistan,South Africa,Winner1stInning,Colombo,"Jul 8, 2000",South Africa,Sri Lanka,Neutral,Neutral,Second,First,282,231,513
1542,ODI # 1607,England,Zimbabwe,Winner2ndInning,The Oval,"Jul 8, 2000",Zimbabwe,England,Home,Away,First,Second,169,187,356
1543,ODI # 1608,Sri Lanka,Pakistan,Winner2ndInning,Colombo,"Jul 9, 2000",Sri Lanka,Sri Lanka,Home,Away,Second,First,211,257,468
1544,ODI # 1610,Sri Lanka,South Africa,Winner2ndInning,Colombo,"Jul 11, 2000",Sri Lanka,Sri Lanka,Home,Away,Second,First,259,274,533
1545,ODI # 1611,West Indies,Zimbabwe,Winner1stInning,Canterbury,"Jul 11, 2000",Zimbabwe,England,Neutral,Neutral,Second,First,214,150,364
1546,ODI # 1612,Pakistan,South Africa,Winner2ndInning,Colombo,"Jul 12, 2000",South Africa,Sri Lanka,Neutral,Neutral,First,Second,216,193,409
1547,ODI # 1613,England,Zimbabwe,Winner2ndInning,Manchester,"Jul 13, 2000",England,England,Home,Away,Second,First,236,260,496
1548,ODI # 1614,Sri Lanka,South Africa,Winner1stInning,Colombo,"Jul 14, 2000",Sri Lanka,Sri Lanka,Home,Away,First,Second,300,281,581
1549,ODI # 1615,England,West Indies,Winner2ndInning,Chester,"Jul 15, 2000",England,England,Home,Away,Second,First,268,272,540
1550,ODI # 1616,West Indies,Zimbabwe,Winner2ndInning,Chester,"Jul 16, 2000",Zimbabwe,England,Neutral,Neutral,First,Second,216,245,461
1551,ODI # 1617,England,Zimbabwe,Winner1stInning,Birmingham,"Jul 18, 2000",England,England,Home,Away,First,Second,179,153,332
1552,ODI # 1618,England,West Indies,Winner1stInning,Nottingham,"Jul 20, 2000",West Indies,England,Home,Away,Second,First,227,218,445
1553,ODI # 1619,England,Zimbabwe,Winner2ndInning,Lord's,"Jul 22, 2000",England,England,Home,Away,Second,First,172,237,409
1554,ODI # 1620,Australia,South Africa,Winner1stInning,Melbourne,"Aug 16, 2000",Australia,Australia,Home,Away,First,Second,286,276,562
1555,ODI # 1622,Australia,South Africa,Winner1stInning,Melbourne,"Aug 20, 2000",South Africa,Australia,Home,Away,Second,First,207,252,459
1556,ODI # 1623,New Zealand,Pakistan,Winner1stInning,Singapore,"Aug 20, 2000",Pakistan,,Neutral,Neutral,Second,First,192,237,429
1557,ODI # 1624,Pakistan,South Africa,Winner1stInning,Singapore,"Aug 23, 2000",Pakistan,,Neutral,Neutral,First,Second,159,191,350
1558,ODI # 1625,New Zealand,South Africa,Winner2ndInning,Singapore,"Aug 25, 2000",South Africa,,Neutral,Neutral,First,Second,192,190,382
1559,ODI # 1626,Pakistan,South Africa,Winner1stInning,Singapore,"Aug 27, 2000",South Africa,,Neutral,Neutral,Second,First,194,166,360
1560,ODI # 1627,Zimbabwe,New Zealand,Winner2ndInning,Harare,"Sep 27, 2000",New Zealand,Zimbabwe,Home,Away,First,Second,278,263,541
1561,ODI # 1628,Zimbabwe,New Zealand,Winner1stInning,Bulawayo,"Sep 30, 2000",Zimbabwe,Zimbabwe,Home,Away,First,Second,230,198,428
1562,ODI # 1629,Zimbabwe,New Zealand,Winner2ndInning,Bulawayo,"Oct 1, 2000",Zimbabwe,Zimbabwe,Home,Away,Second,First,236,272,508
1563,ODI # 1630,Kenya,India,Winner2ndInning,Nairobi,"Oct 3, 2000",India,Kenya,Home,Away,First,Second,230,198,428
1564,ODI # 1631,Sri Lanka,West Indies,Winner1stInning,Nairobi,"Oct 4, 2000",Sri Lanka,Kenya,Neutral,Neutral,First,Second,184,166,350
1565,ODI # 1632,Bangladesh,England,Winner2ndInning,Nairobi,"Oct 5, 2000",England,Kenya,Neutral,Neutral,First,Second,188,298,486
1566,ODI # 1633,Australia,India,Winner1stInning,Nairobi,"Oct 7, 2000",India,Kenya,Neutral,Neutral,Second,First,187,190,377
1567,ODI # 1634,Pakistan,Sri Lanka,Winner2ndInning,Nairobi,"Oct 8, 2000",Pakistan,Kenya,Neutral,Neutral,Second,First,275,177,452
1568,ODI # 1635,New Zealand,Zimbabwe,Winner1stInning,Nairobi,"Oct 9, 2000",New Zealand,Kenya,Neutral,Neutral,First,Second,271,289,560
1569,ODI # 1636,England,South Africa,Winner2ndInning,Nairobi,"Oct 10, 2000",South Africa,Kenya,Neutral,Neutral,First,Second,160,263,423
1570,ODI # 1637,New Zealand,Pakistan,Winner2ndInning,Nairobi,"Oct 11, 2000",New Zealand,Kenya,Neutral,Neutral,Second,First,174,173,347
1571,ODI # 1638,India,South Africa,Winner1stInning,Nairobi,"Oct 13, 2000",India,Kenya,Neutral,Neutral,First,Second,285,248,533
1572,ODI # 1639,India,New Zealand,Winner2ndInning,Nairobi,"Oct 15, 2000",New Zealand,Kenya,Neutral,Neutral,First,Second,248,250,498
1573,ODI # 1640,India,Sri Lanka,Winner2ndInning,Sharjah,"Oct 20, 2000",Sri Lanka,U.A.E.,Neutral,Neutral,First,Second,241,292,533
1574,ODI # 1642,Sri Lanka,Zimbabwe,Winner2ndInning,Sharjah,"Oct 21, 2000",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,299,238,537
1575,ODI # 1643,South Africa,New Zealand,Winner2ndInning,Benoni,"Oct 22, 2000",South Africa,South Africa,Home,Away,Second,First,189,248,437
1576,ODI # 1644,India,Zimbabwe,Winner1stInning,Sharjah,"Oct 22, 2000",India,U.A.E.,Neutral,Neutral,First,Second,292,235,527
1577,ODI # 1645,Pakistan,England,Winner2ndInning,Karachi,"Oct 24, 2000",England,Pakistan,Home,Away,First,Second,241,227,468
1578,ODI # 1646,Sri Lanka,Zimbabwe,Winner1stInning,Sharjah,"Oct 25, 2000",Sri Lanka,U.A.E.,Neutral,Neutral,First,Second,238,168,406
1579,ODI # 1647,South Africa,New Zealand,Winner1stInning,Centurion,"Oct 25, 2000",South Africa,South Africa,Home,Away,First,Second,254,164,418
1580,ODI # 1648,India,Zimbabwe,Winner2ndInning,Sharjah,"Oct 26, 2000",India,U.A.E.,Neutral,Neutral,Second,First,153,244,397
1581,ODI # 1649,Pakistan,England,Winner2ndInning,Lahore,"Oct 27, 2000",Pakistan,Pakistan,Home,Away,Second,First,277,198,475
1582,ODI # 1650,India,Sri Lanka,Winner1stInning,Sharjah,"Oct 27, 2000",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,178,178,356
1583,ODI # 1651,South Africa,New Zealand,Winner2ndInning,Kimberley,"Oct 28, 2000",South Africa,South Africa,Home,Away,Second,First,237,159,396
1584,ODI # 1652,India,Sri Lanka,Winner1stInning,Sharjah,"Oct 29, 2000",Sri Lanka,U.A.E.,Neutral,Neutral,Second,First,281,155,436
1585,ODI # 1653,Pakistan,England,Winner2ndInning,Rawalpindi,"Oct 30, 2000",Pakistan,Pakistan,Home,Away,Second,First,159,195,354
1586,ODI # 1654,South Africa,New Zealand,Winner2ndInning,Durban,"Nov 1, 2000",South Africa,South Africa,Home,Away,Second,First,213,233,446
1587,ODI # 1655,South Africa,New Zealand,Winner2ndInning,Cape Town,"Nov 4, 2000",South Africa,South Africa,Home,Away,Second,First,191,189,380
1588,ODI # 1656,India,Zimbabwe,Winner2ndInning,Cuttack,"Dec 2, 2000",India,India,Home,Away,Second,First,232,225,457
1589,ODI # 1657,India,Zimbabwe,Winner1stInning,Ahmedabad,"Dec 5, 2000",India,India,Home,Away,First,Second,278,288,566
1590,ODI # 1658,India,Zimbabwe,Winner2ndInning,Jodhpur,"Dec 8, 2000",Zimbabwe,India,Home,Away,First,Second,292,256,548
1591,ODI # 1659,India,Zimbabwe,Winner2ndInning,Kanpur,"Dec 11, 2000",India,India,Home,Away,Second,First,260,199,459
1592,ODI # 1660,India,Zimbabwe,Winner1stInning,Rajkot,"Dec 14, 2000",India,India,Home,Away,First,Second,255,259,514
1593,ODI # 1661,South Africa,Sri Lanka,Winner2ndInning,Port Elizabeth,"Dec 15, 2000",South Africa,South Africa,Home,Away,Second,First,284,280,564
1594,ODI # 1662,South Africa,Sri Lanka,Winner1stInning,East London,"Dec 17, 2000",South Africa,South Africa,Home,Away,First,Second,203,200,403
1595,ODI # 1663,New Zealand,Zimbabwe,Winner1stInning,Taupo,"Jan 2, 2001",Zimbabwe,New Zealand,Home,Away,Second,First,150,181,331
1596,ODI # 1664,New Zealand,Zimbabwe,Winner2ndInning,Wellington,"Jan 4, 2001",New Zealand,New Zealand,Home,Away,Second,First,286,201,487
1597,ODI # 1665,New Zealand,Zimbabwe,Winner2ndInning,Auckland,"Jan 7, 2001",Zimbabwe,New Zealand,Home,Away,First,Second,207,199,406
